ind1990,label,n_people,in_2011_2019,in_2020_2026
0,NIU,2612668,True,True
10,"Agricultural production, crops",84645,True,True
11,"Agricultural production, livestock",57162,True,True
12,Veterinary services,23140,True,True
20,Landscape and horticultural services,83069,True,True
31,Forestry,4816,True,True
32,"Fishing, hunting, and trapping",5089,True,True
40,Metal mining,4014,True,True
41,Coal mining,9998,True,True
42,Oil and gas extraction,50771,True,True
50,"Nonmetallic mining and quarrying, except fuels",8348,True,True
60,All construction,691382,True,True
100,Meat products,36759,True,True
101,Dairy products,11230,True,True
102,"Canned, frozen, and preserved fruits and vegetables",10400,True,True
110,Grain mill products,10894,True,True
111,Bakery products,12143,True,True
112,Sugar and confectionery products,5541,True,True
120,Beverage industries,17024,True,True
121,Misc. food preparations and kindred products,13729,True,True
122,"Food industries, n.s.",4178,True,True
130,Tobacco manufactures,1048,True,True
132,Knitting mills,1091,True,True
140,"Dyeing and finishing textiles, except wool and knit goods",981,True,True
141,Carpets and rugs,3119,True,True
142,"Yarn, thread, and fabric mills",6287,True,True
150,Miscellaneous textile mill products,4714,True,True
151,"Apparel and accessories, except knit",12664,True,True
160,"Pulp, paper, and paperboard mills",13399,True,True
161,Miscellaneous paper and pulp products,5805,True,True
162,Paperboard containers and boxes,5220,True,True
171,Newspaper publishing and printing,12956,True,True
172,"Printing, publishing, and allied industries, except newspapers",43127,True,True
180,"Plastics, synthetics, and resins",33139,True,True
181,Drugs,34181,True,True
182,Soaps and cosmetics,8447,True,True
190,"Paints, varnishes, and related products",3741,True,True
191,Agricultural chemicals,2600,True,True
192,Industrial and miscellaneous chemicals,26404,True,True
200,Petroleum refining,12654,True,True
201,Miscellaneous petroleum and coal products,1323,True,True
210,Tires and inner tubes,4101,True,True
211,"Other rubber products, and plastics footwear and belting",4499,True,True
220,Leather tanning and finishing,1445,True,True
221,"Footwear, except rubber and plastic",2053,True,True
230,Logging,7757,True,True
231,"Sawmills, planing mills, and millwork",11456,True,True
232,Wood buildings and mobile homes,2216,True,True
241,Miscellaneous wood products,13989,True,True
242,Furniture and fixtures,26101,True,True
250,Glass and glass products,8817,True,True
251,"Cement, concrete, gypsum, and plaster products",10425,True,True
252,Structural clay products,1666,True,True
261,Pottery and related products,1713,True,True
262,Misc. nonmetallic mineral and stone products,4922,True,True
270,"Blast furnaces, steelworks, rolling and finishing mills",17532,True,True
271,Iron and steel foundries,4584,True,True
272,Primary aluminum industries,4094,True,True
280,Other primary metal industries,3310,True,True
281,"Cutlery, handtools, and general hardware",2830,True,True
282,Fabricated structural metal products,21234,True,True
290,Screw machine products,17369,True,True
291,Metal forgings and stampings,2693,True,True
292,Ordnance,4149,True,True
300,Miscellaneous fabricated metal products,22854,True,True
301,"Metal industries, n.s.",1421,True,True
310,Engines and turbines,3411,True,True
311,Farm machinery and equipment,9856,True,True
312,Construction and material handling machines,11112,True,True
320,Metalworking machinery,7428,True,True
322,Computers and related equipment,11650,True,True
331,"Machinery, except electrical, n.e.c.",43986,True,True
332,"Machinery, n.s.",4745,True,True
340,Household appliances,4569,True,True
341,"Radio, TV, and communication equipment",7061,True,True
342,"Electrical machinery, equipment, and supplies, n.e.c.",61909,True,True
351,Motor vehicles and motor vehicle equipment,74778,True,True
352,Aircraft and parts,43696,True,True
360,Ship and boat building and repairing,13007,True,True
361,Railroad locomotives and equipment,1723,True,True
362,"Guided missiles, space vehicles, and parts",10314,True,True
370,Cycles and miscellaneous transportation equipment,2397,True,True
371,Scientific and controlling instruments,12907,True,True
372,"Medical, dental, and optical instruments and supplies",39004,True,True
390,"Toys, amusement, and sporting goods",7142,True,True
391,Miscellaneous manufacturing industries,31108,True,True
392,"Manufacturing industries, n.s.",17323,True,True
400,Railroads,18373,True,True
